,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
46,46,0.043715476989746,0.0010909979889307,19.44128017425537,0.3462898926375906,distance,2,7,ball_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 7, 'algorithm': 'ball_tree'}",0.7558125,0.75475,0.752375,0.74625,0.7471875,0.7512749999999999,0.0038944271080609,22
11,11,0.0399159431457519,0.0018764781826129,27.409906721115117,1.607092981004006,uniform,1,11,kd_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 11, 'algorithm': 'kd_tree'}",0.7545,0.7521875,0.749625,0.7460625,0.7471875,0.7499125,0.0031161374327843,23
42,42,0.0048841953277587,0.0001679996449113,2.9853163242340086,0.0535640248747227,uniform,1,11,brute,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 11, 'algorithm': 'brute'}",0.7545,0.7521875,0.749625,0.7460625,0.7471875,0.7499125,0.0031161374327843,23
16,16,0.0456995487213134,0.0014876576964489,19.26398768424988,1.216748940857785,uniform,1,11,ball_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 11, 'algorithm': 'ball_tree'}",0.7545,0.7521875,0.749625,0.7460625,0.7471875,0.7499125,0.0031161374327843,23
40,40,0.044529390335083,0.0035108641117768,20.708821058273315,1.7270933008747886,distance,2,9,ball_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 9, 'algorithm': 'ball_tree'}",0.74875,0.7473125,0.7505,0.74075,0.7456875,0.7465999999999999,0.0033285225701502,26
12,12,0.0047899723052978,0.0002180501090711,0.6403794288635254,0.0101859203647843,distance,2,9,brute,"{'weights': 'distance', 'p': 2, 'n_neighbors': 9, 'algorithm': 'brute'}",0.74875,0.7473125,0.7505,0.74075,0.7456875,0.7465999999999999,0.0033285225701502,26
18,18,0.0450216770172119,0.0011966330341043,18.475448751449584,0.2268370198056463,uniform,1,13,ball_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 13, 'algorithm': 'ball_tree'}",0.744,0.7411875,0.741125,0.7398125,0.741375,0.7415,0.0013675936896607,28
45,45,0.0047766685485839,0.0002524552358925,2.927378940582275,0.0389594992009825,uniform,1,13,brute,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 13, 'algorithm': 'brute'}",0.744,0.7411875,0.741125,0.7398125,0.741375,0.7415,0.0013675936896607,28
29,29,0.0376328945159912,0.0004284174860526,24.860073375701905,1.467898353577026,uniform,1,13,kd_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 13, 'algorithm': 'kd_tree'}",0.744,0.7411875,0.741125,0.7398125,0.741375,0.7415,0.0013675936896607,28
35,35,0.0046937465667724,0.0001915510714293,0.7460058212280274,0.0159642870061934,uniform,2,5,brute,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 5, 'algorithm': 'brute'}",0.7396875,0.7355,0.7333125,0.7335625,0.7325625,0.7349249999999999,0.0025709920264365,31
41,41,0.0434083938598632,0.0019445696840929,20.10021367073059,1.2005385600666865,uniform,2,5,ball_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 5, 'algorithm': 'ball_tree'}",0.7396875,0.7355,0.7333125,0.7335625,0.7325625,0.7349249999999999,0.0025709920264365,31
39,39,0.0448588848114013,0.001018345054493,21.71565976142883,1.609182281144523,uniform,1,15,ball_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 15, 'algorithm': 'ball_tree'}",0.7356875,0.7355625,0.732625,0.73125,0.7336875,0.7337625000000001,0.0017063301263237,33
49,49,0.0378076076507568,0.0003482905430667,17.79541668891907,0.3917967686308243,distance,2,15,kd_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 15, 'algorithm': 'kd_tree'}",0.7328125,0.729375,0.7295625,0.7265625,0.728875,0.7294375,0.0019996093368455,34
36,36,0.0391709804534912,0.0022698574479018,27.08709526062012,1.958192524225834,uniform,1,17,kd_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 17, 'algorithm': 'kd_tree'}",0.729125,0.7289375,0.726875,0.7245,0.7279375,0.727475,0.0016903217149406,35
4,4,0.004994249343872,6.501139128102408e-05,3.254972505569458,0.0636526029517948,uniform,1,17,brute,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 17, 'algorithm': 'brute'}",0.729125,0.7289375,0.726875,0.7245,0.7279375,0.727475,0.0016903217149406,35
22,22,0.0385739803314209,0.0012279351217997,19.49801802635193,0.313943200999722,distance,2,17,kd_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 17, 'algorithm': 'kd_tree'}",0.7261875,0.724875,0.7261875,0.72125,0.7261875,0.7249375,0.0019125408492369,37
24,24,0.0435700416564941,0.0003791187979546,21.242081737518312,0.9114849792404116,uniform,2,7,ball_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 7, 'algorithm': 'ball_tree'}",0.725875,0.7265,0.724625,0.7210625,0.7229375,0.7242,0.0019856516562579,38
5,5,0.0051501750946044,0.0001829349324686,3.196277046203613,0.0949611262427736,uniform,1,19,brute,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 19, 'algorithm': 'brute'}",0.724625,0.723375,0.7220625,0.718875,0.722625,0.7223125,0.0019210999453437,39
34,34,0.0424024105072021,0.0001082770673214,20.22755069732666,1.569870192679704,distance,2,19,ball_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 19, 'algorithm': 'ball_tree'}",0.7246875,0.7191875,0.722625,0.7178125,0.7215,0.7211624999999999,0.0024413751248016,40
6,6,0.0410402774810791,0.0075139213981062,20.01494665145874,0.4343650697244424,distance,2,19,kd_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 19, 'algorithm': 'kd_tree'}",0.7246875,0.7191875,0.722625,0.7178125,0.7215,0.7211624999999999,0.0024413751248016,40
43,43,0.0050699710845947,8.162847723822526e-05,0.6943110942840576,0.0123996418720538,distance,2,19,brute,"{'weights': 'distance', 'p': 2, 'n_neighbors': 19, 'algorithm': 'brute'}",0.7246875,0.7191875,0.722625,0.7178125,0.7215,0.7211624999999999,0.0024413751248016,40
14,14,0.0049895763397216,0.000113734848723,0.7696504116058349,0.0043000491058155,uniform,2,9,brute,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 9, 'algorithm': 'brute'}",0.7176875,0.7156875,0.716875,0.7121875,0.712125,0.7149125000000001,0.0023387363040753,43
7,7,0.0451207637786865,0.0024522707428264,22.38899669647217,0.4515193102485348,uniform,2,9,ball_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 9, 'algorithm': 'ball_tree'}",0.7176875,0.7156875,0.716875,0.7121875,0.712125,0.7149125000000001,0.0023387363040753,43
13,13,0.0048527717590332,9.082177043873863e-05,0.7585288524627686,0.0099827483931319,uniform,2,11,brute,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 11, 'algorithm': 'brute'}",0.7144375,0.7073125,0.7105625,0.705875,0.7045,0.7085375,0.0035721579612329,45
19,19,0.0384653091430664,0.0010027419404589,18.431837940216063,0.2222354262369235,uniform,2,13,kd_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 13, 'algorithm': 'kd_tree'}",0.7065,0.7025,0.701125,0.6985,0.69875,0.7014750000000001,0.0029223278392404,46
3,3,0.0050508499145507,0.0001429745469044,0.8590931415557861,0.0354465983872876,uniform,2,13,brute,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 13, 'algorithm': 'brute'}",0.7065,0.7025,0.701125,0.6985,0.69875,0.7014750000000001,0.0029223278392404,46
15,15,0.0451472282409668,0.0030718607739212,20.763028812408447,1.8546093314055487,uniform,2,15,ball_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 15, 'algorithm': 'ball_tree'}",0.7009375,0.696875,0.6974375,0.6953125,0.6960625,0.697325,0.0019447043477094,48
47,47,0.0046586036682128,0.0002852549960513,0.7467833518981933,0.0111941661642422,uniform,2,15,brute,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 15, 'algorithm': 'brute'}",0.7009375,0.696875,0.6974375,0.6953125,0.6960625,0.697325,0.0019447043477094,48
27,27,0.0046717643737792,0.0001514615569389,0.757831621170044,0.0181182344687288,uniform,2,17,brute,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 17, 'algorithm': 'brute'}",0.6976875,0.6928125,0.69425,0.6898125,0.6934375,0.6936,0.0025346350822159,50
