,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,param_algorithm,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
18,0.045021677017211915,0.0011966330341043184,18.475448751449584,0.22683701980564636,uniform,1,13,ball_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 13, 'algorithm': 'ball_tree'}",0.744,0.7411875,0.741125,0.7398125,0.741375,0.7415,0.0013675936896607851,28
19,0.03846530914306641,0.0010027419404589045,18.431837940216063,0.22223542623692358,uniform,2,13,kd_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 13, 'algorithm': 'kd_tree'}",0.7065,0.7025,0.701125,0.6985,0.69875,0.7014750000000001,0.0029223278392404997,46
20,0.044647216796875,0.0013788358273058268,19.5735303401947,0.5038673982576024,distance,1,13,ball_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 13, 'algorithm': 'ball_tree'}",0.7959375,0.79375,0.7933125,0.789125,0.7905625,0.7925375,0.0024156391493764156,9
21,0.0046999454498291016,0.00025638505721015613,2.9492141723632814,0.06818536535957923,distance,1,5,brute,"{'weights': 'distance', 'p': 1, 'n_neighbors': 5, 'algorithm': 'brute'}",0.8105625,0.80975,0.8054375,0.80225,0.806,0.8068,0.0030350556008086316,1
22,0.0385739803314209,0.0012279351217997273,19.49801802635193,0.31394320099972206,distance,2,17,kd_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 17, 'algorithm': 'kd_tree'}",0.7261875,0.724875,0.7261875,0.72125,0.7261875,0.7249375,0.0019125408492369662,37
23,0.04477801322937012,0.0021021803640100313,19.669847440719604,0.24888384285793116,distance,1,15,ball_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 15, 'algorithm': 'ball_tree'}",0.79075,0.7890625,0.789375,0.7834375,0.786625,0.78785,0.002575910033366839,12
24,0.04357004165649414,0.00037911879795469837,21.242081737518312,0.9114849792404116,uniform,2,7,ball_tree,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 7, 'algorithm': 'ball_tree'}",0.725875,0.7265,0.724625,0.7210625,0.7229375,0.7242,0.001985651656257962,38
25,0.0378718376159668,0.00033823780920613105,25.67507839202881,0.5547812761160418,distance,1,11,kd_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 11, 'algorithm': 'kd_tree'}",0.8011875,0.798375,0.798,0.793625,0.7950625,0.79725,0.0026554778289415316,7
26,0.03809657096862793,0.0006083411507628806,26.260965967178343,0.16989197866362646,distance,1,15,kd_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 15, 'algorithm': 'kd_tree'}",0.79075,0.7890625,0.789375,0.7834375,0.786625,0.78785,0.002575910033366839,12
27,0.004671764373779297,0.00015146155693898495,0.757831621170044,0.01811823446872885,uniform,2,17,brute,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 17, 'algorithm': 'brute'}",0.6976875,0.6928125,0.69425,0.6898125,0.6934375,0.6936,0.0025346350822159666,50
28,0.038672447204589844,0.000994579212920584,25.303712797164916,1.0425889072156578,distance,1,9,kd_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 9, 'algorithm': 'kd_tree'}",0.8084375,0.80475,0.801875,0.7975,0.800375,0.8025874999999999,0.0037465817754321223,5
29,0.03763289451599121,0.00042841748605264665,24.860073375701905,1.467898353577026,uniform,1,13,kd_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 13, 'algorithm': 'kd_tree'}",0.744,0.7411875,0.741125,0.7398125,0.741375,0.7415,0.0013675936896607851,28
30,0.03830571174621582,0.002446924532444475,83.04747886657715,123.71039284867886,distance,1,7,kd_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 7, 'algorithm': 'kd_tree'}",0.80925,0.8076875,0.8048125,0.7988125,0.8061875,0.80535,0.0035889587626496797,4
31,0.004734706878662109,0.00023263268884728914,3.052929162979126,0.188429063568805,distance,1,17,brute,"{'weights': 'distance', 'p': 1, 'n_neighbors': 17, 'algorithm': 'brute'}",0.7848125,0.785,0.7858125,0.7795,0.781875,0.7834,0.002362665338129823,14
32,0.004750633239746093,5.02167713746238e-05,2.918734836578369,0.05437989392917555,uniform,1,9,brute,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 9, 'algorithm': 'brute'}",0.7671875,0.7659375,0.761,0.7580625,0.75975,0.7623875,0.0035561126950646705,17
33,0.038724660873413086,0.0019221739561808495,25.423644256591796,1.6530032601067453,uniform,1,9,kd_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 9, 'algorithm': 'kd_tree'}",0.7671875,0.7659375,0.761,0.7580625,0.75975,0.7623875,0.0035561126950646705,17
34,0.04240241050720215,0.00010827706732141895,20.22755069732666,1.569870192679704,distance,2,19,ball_tree,"{'weights': 'distance', 'p': 2, 'n_neighbors': 19, 'algorithm': 'ball_tree'}",0.7246875,0.7191875,0.722625,0.7178125,0.7215,0.7211624999999999,0.002441375124801615,40
35,0.004693746566772461,0.00019155107142933937,0.7460058212280274,0.01596428700619343,uniform,2,5,brute,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 5, 'algorithm': 'brute'}",0.7396875,0.7355,0.7333125,0.7335625,0.7325625,0.7349249999999999,0.0025709920264365043,31
36,0.03917098045349121,0.0022698574479018503,27.087095260620117,1.958192524225834,uniform,1,17,kd_tree,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 17, 'algorithm': 'kd_tree'}",0.729125,0.7289375,0.726875,0.7245,0.7279375,0.727475,0.0016903217149406727,35
37,0.0460087776184082,0.003117043378341878,19.642164850234984,1.0737505672541117,distance,1,11,ball_tree,"{'weights': 'distance', 'p': 1, 'n_neighbors': 11, 'algorithm': 'ball_tree'}",0.8011875,0.798375,0.798,0.793625,0.7950625,0.79725,0.0026554778289415316,7
38,0.004648256301879883,0.00016289649275629344,0.6376431941986084,0.023243728858187825,distance,2,5,brute,"{'weights': 'distance', 'p': 2, 'n_neighbors': 5, 'algorithm': 'brute'}",0.761375,0.7601875,0.7555,0.7548125,0.7526875,0.7569125,0.003313466840033286,19
