,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_warm_start,param_min_samples_leaf,param_max_leaf_nodes,param_max_depth,param_learning_rate,param_l2_regularization,param_early_stopping,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14,5.366959476470948,0.38740468482256246,0.31812033653259275,0.02091552097776407,True,10,40,8,0.2,0.0,True,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 40, 'max_depth': 8, 'learning_rate': 0.2, 'l2_regularization': 0.0, 'early_stopping': True}",0.7806875,0.785375,0.784625,0.7795,0.7816875,0.782375,0.0022648813434703644,2
15,4.77446346282959,0.3197081794461846,0.31816706657409666,0.027913096936229693,True,10,25,4,0.0005,0.1,False,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 25, 'max_depth': 4, 'learning_rate': 0.0005, 'l2_regularization': 0.1, 'early_stopping': False}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
16,4.832463169097901,0.36227072446971315,0.3121082305908203,0.03146244232138533,True,30,20,4,0.005,0.3,True,"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 20, 'max_depth': 4, 'learning_rate': 0.005, 'l2_regularization': 0.3, 'early_stopping': True}",0.6701875,0.669,0.6751875,0.669,0.6718125,0.6710375000000001,0.002317258617418439,24
17,4.154973745346069,0.2626326349289829,0.2596863269805908,0.009955947264529811,False,15,45,3,0.001,0.0,True,"{'warm_start': False, 'min_samples_leaf': 15, 'max_leaf_nodes': 45, 'max_depth': 3, 'learning_rate': 0.001, 'l2_regularization': 0.0, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
18,6.091402053833008,0.3762035947039816,0.392165994644165,0.004071687377640469,True,10,20,9,0.01,0.1,False,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 20, 'max_depth': 9, 'learning_rate': 0.01, 'l2_regularization': 0.1, 'early_stopping': False}",0.710625,0.71675,0.7129375,0.7135,0.7146875,0.7137,0.002017656437553249,18
19,6.960953855514527,0.4155600396976293,0.4605109691619873,0.02992941805305266,True,10,40,8,0.001,0.1,True,"{'warm_start': True, 'min_samples_leaf': 10, 'max_leaf_nodes': 40, 'max_depth': 8, 'learning_rate': 0.001, 'l2_regularization': 0.1, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
20,4.637775468826294,0.24775287374199526,0.3137181282043457,0.0253424983664346,False,20,45,4,0.0001,0.3,False,"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 45, 'max_depth': 4, 'learning_rate': 0.0001, 'l2_regularization': 0.3, 'early_stopping': False}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
21,3.895116758346558,0.1916551856712136,0.28782215118408205,0.033092594614700925,True,30,45,3,0.5,0.2,True,"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 45, 'max_depth': 3, 'learning_rate': 0.5, 'l2_regularization': 0.2, 'early_stopping': True}",0.736,0.7406875,0.7393125,0.738,0.737625,0.738325,0.0015847909956836854,11
22,5.450395679473877,0.2975797483465389,0.37572484016418456,0.025017724231205872,True,30,35,7,0.1,0.3,True,"{'warm_start': True, 'min_samples_leaf': 30, 'max_leaf_nodes': 35, 'max_depth': 7, 'learning_rate': 0.1, 'l2_regularization': 0.3, 'early_stopping': True}",0.7545625,0.758875,0.75675,0.755,0.7583125,0.7567,0.0017200109011282201,6
23,4.919686889648437,0.3391779144087025,0.3150036811828613,0.025763019461133758,False,20,30,7,0.2,0.1,False,"{'warm_start': False, 'min_samples_leaf': 20, 'max_leaf_nodes': 30, 'max_depth': 7, 'learning_rate': 0.2, 'l2_regularization': 0.1, 'early_stopping': False}",0.778125,0.77775,0.7768125,0.7741875,0.7745,0.776275,0.0016367841946939743,3
24,7.455518674850464,0.32821152600887454,0.47850022315979,0.023719727701814422,False,15,45,9,0.0005,0.1,True,"{'warm_start': False, 'min_samples_leaf': 15, 'max_leaf_nodes': 45, 'max_depth': 9, 'learning_rate': 0.0005, 'l2_regularization': 0.1, 'early_stopping': True}",0.5310625,0.531,0.531,0.531,0.531,0.5310125000000001,2.4999999999986147e-05,32
