,Unnamed: 0,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
40,40,8.319715309143067,0.5145954519936131,0.1707204341888427,0.0174976675930967,40,log2,20,gini,"{'n_estimators': 40, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'gini'}",0.8016875,0.7969375,0.79725,0.8028125,0.7965,0.7990375000000001,0.0026577128324934,22
2,2,2.812529945373535,0.3293143058021394,0.0530963420867919,0.0049718055902671,10,sqrt,50,entropy,"{'n_estimators': 10, 'max_features': 'sqrt', 'max_depth': 50, 'criterion': 'entropy'}",0.807125,0.79225,0.8013125,0.80025,0.7919375,0.798575,0.0057872975126564,23
42,42,10.071351051330566,0.5798867060710117,0.1707676887512207,0.009606905547764,40,log2,20,entropy,"{'n_estimators': 40, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'entropy'}",0.802125,0.795375,0.7980625,0.8006875,0.7961875,0.7984875,0.0025779715863445,24
5,5,14.684472942352295,0.0807471376893344,0.0436638832092285,0.0003626301161351,10,,40,log_loss,"{'n_estimators': 10, 'max_features': None, 'max_depth': 40, 'criterion': 'log_loss'}",0.7961875,0.7933125,0.7900625,0.795375,0.786,0.7921875,0.0037477076326736,25
6,6,13.940798473358154,0.0715472910407995,0.0401660919189453,0.0010833216939128,10,,20,entropy,"{'n_estimators': 10, 'max_features': None, 'max_depth': 20, 'criterion': 'entropy'}",0.7891875,0.78025,0.7834375,0.783875,0.7855625,0.7844625000000001,0.002921525714417,26
18,18,2.572460985183716,0.3178367211516593,0.0436091423034668,0.0028057356093498,10,log2,20,log_loss,"{'n_estimators': 10, 'max_features': 'log2', 'max_depth': 20, 'criterion': 'log_loss'}",0.7871875,0.7790625,0.7815,0.7828125,0.774,0.7809125,0.0043482395863153,27
26,26,28.231800985336303,0.1407265115703393,0.0826932907104492,0.0007133999655432,40,,10,gini,"{'n_estimators': 40, 'max_features': None, 'max_depth': 10, 'criterion': 'gini'}",0.7388125,0.726,0.730125,0.730625,0.728875,0.7308874999999999,0.004275365481453,28
8,8,18.482140731811523,0.5205001034624857,0.3027469635009766,0.0044404807832263,150,sqrt,10,gini,"{'n_estimators': 150, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini'}",0.7335625,0.7249375,0.7288125,0.7289375,0.729125,0.7290749999999999,0.0027330157335807,29
30,30,12.44403748512268,0.256188839775578,0.2286525726318359,0.0246450632829648,100,log2,10,gini,"{'n_estimators': 100, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'gini'}",0.7306875,0.7238125,0.72975,0.7305,0.7281875,0.7285875,0.0025447863368071,30
36,36,5.134332132339478,0.6131158613006301,0.0841956138610839,0.001477324906391,40,log2,10,gini,"{'n_estimators': 40, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'gini'}",0.733375,0.7243125,0.727,0.7285,0.7184375,0.7263249999999999,0.0049224295322533,31
17,17,22.55737223625183,0.5376997743045105,0.3149808406829834,0.0239316232434016,150,sqrt,10,entropy,"{'n_estimators': 150, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy'}",0.7288125,0.7185,0.7235,0.724,0.7244375,0.7238500000000001,0.0032783856545561,32
