,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
2,11.131178855895996,0.23641724933153,0.029821062088012697,0.011564200500628072,10,10,100,9,0.001,0.0,0.6,"{'reg_lambda': 10, 'reg_alpha': 10, 'n_estimators': 100, 'max_depth': 9, 'learning_rate': 0.001, 'gamma': 0.0, 'colsample_bytree': 0.6}",0.711,0.72175,0.710625,0.7165,0.7089375,0.7137625,0.004733920151417864,35
12,85.71136317253112,2.590501842987793,0.13509621620178222,0.02116413594480397,0.01,100,400,18,0.0001,0.2,0.9,"{'reg_lambda': 0.01, 'reg_alpha': 100, 'n_estimators': 400, 'max_depth': 18, 'learning_rate': 0.0001, 'gamma': 0.2, 'colsample_bytree': 0.9}",0.709,0.719,0.712625,0.715625,0.7094375,0.7131375,0.003784920738932307,36
30,5.37902569770813,0.18187168660996655,0.016336822509765626,0.00244037428294653,0.01,10,150,3,0.1,0.2,0.4,"{'reg_lambda': 0.01, 'reg_alpha': 10, 'n_estimators': 150, 'max_depth': 3, 'learning_rate': 0.1, 'gamma': 0.2, 'colsample_bytree': 0.4}",0.708,0.7203125,0.7094375,0.71625,0.7109375,0.7129875,0.00460390459284292,37
27,23.301940298080446,0.33499024427811336,0.06344513893127442,0.010267947342060098,100,1,150,12,0.0001,0.0,0.6,"{'reg_lambda': 100, 'reg_alpha': 1, 'n_estimators': 150, 'max_depth': 12, 'learning_rate': 0.0001, 'gamma': 0.0, 'colsample_bytree': 0.6}",0.71075,0.721875,0.709,0.716375,0.7056875,0.7127374999999999,0.005733181926295391,38
21,43.95624599456787,0.9538002559908171,0.08690853118896484,0.01022464698015307,0.1,100,350,9,0.001,0.2,0.8,"{'reg_lambda': 0.1, 'reg_alpha': 100, 'n_estimators': 350, 'max_depth': 9, 'learning_rate': 0.001, 'gamma': 0.2, 'colsample_bytree': 0.8}",0.7084375,0.719125,0.710875,0.7133125,0.708,0.7119500000000001,0.004060364823510323,39
49,80.5063913822174,3.4182672237168275,0.12967185974121093,0.01019614378174155,0.01,100,450,15,0.0001,0.4,0.8,"{'reg_lambda': 0.01, 'reg_alpha': 100, 'n_estimators': 450, 'max_depth': 15, 'learning_rate': 0.0001, 'gamma': 0.4, 'colsample_bytree': 0.8}",0.70675,0.718875,0.711,0.713875,0.7070625,0.7115125000000001,0.004528451722167315,40
6,44.05538763999939,0.5868923791362544,0.07805953025817872,0.0010209314022108771,10,10,400,6,0.0001,0.4,0.7,"{'reg_lambda': 10, 'reg_alpha': 10, 'n_estimators': 400, 'max_depth': 6, 'learning_rate': 0.0001, 'gamma': 0.4, 'colsample_bytree': 0.7}",0.707875,0.716625,0.7104375,0.7095,0.7039375,0.7096750000000001,0.004124886362071067,41
15,19.902346086502074,0.9763315301158312,0.03241405487060547,0.006970836706251049,100,1e-05,450,3,0.01,0.0,0.9,"{'reg_lambda': 100, 'reg_alpha': 1e-05, 'n_estimators': 450, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.0, 'colsample_bytree': 0.9}",0.703875,0.7165625,0.704125,0.709875,0.702375,0.7073625,0.005262544536628647,42
11,33.72442517280579,2.041992041186204,0.0678398609161377,0.01602882935846019,0.01,100,200,15,0.0001,0.2,0.7,"{'reg_lambda': 0.01, 'reg_alpha': 100, 'n_estimators': 200, 'max_depth': 15, 'learning_rate': 0.0001, 'gamma': 0.2, 'colsample_bytree': 0.7}",0.702625,0.7143125,0.70375,0.7089375,0.69825,0.705575,0.005537852697571496,43
36,19.757248640060425,0.5602441033372346,0.0638503074645996,0.014647577460908865,0.1,1e-05,300,6,0.01,0.0,0.3,"{'reg_lambda': 0.1, 'reg_alpha': 1e-05, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.01, 'gamma': 0.0, 'colsample_bytree': 0.3}",0.7025,0.7075625,0.6956875,0.7055625,0.6979375,0.7018500000000001,0.0044748603330159835,44
31,15.671101760864257,0.4481653419483622,0.04183306694030762,0.014866204559290922,1,1,200,6,0.0001,0.0,0.6,"{'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.0001, 'gamma': 0.0, 'colsample_bytree': 0.6}",0.7009375,0.708375,0.6981875,0.70425,0.697,0.70175,0.004148606693819038,45
18,8.297469472885131,0.30650515856198446,0.023068952560424804,0.006017301318626049,1,100,100,6,0.0001,0.3,0.7,"{'reg_lambda': 1, 'reg_alpha': 100, 'n_estimators': 100, 'max_depth': 6, 'learning_rate': 0.0001, 'gamma': 0.3, 'colsample_bytree': 0.7}",0.6940625,0.704125,0.69375,0.7003125,0.6924375,0.6969375,0.004510577845465028,46
28,33.06425251960754,0.5082875048817411,0.1097151756286621,0.019003019829508198,100,0.01,300,12,0.001,0.0,0.3,"{'reg_lambda': 100, 'reg_alpha': 0.01, 'n_estimators': 300, 'max_depth': 12, 'learning_rate': 0.001, 'gamma': 0.0, 'colsample_bytree': 0.3}",0.6958125,0.6925,0.68875,0.69425,0.695375,0.6933375,0.0025634449477217134,47
26,12.902554798126221,0.4289198552086272,0.03123483657836914,0.004529994097573449,0.01,100,100,12,0.001,0.2,0.6,"{'reg_lambda': 0.01, 'reg_alpha': 100, 'n_estimators': 100, 'max_depth': 12, 'learning_rate': 0.001, 'gamma': 0.2, 'colsample_bytree': 0.6}",0.6921875,0.6998125,0.6895625,0.696625,0.6885,0.6933374999999999,0.004282705044711812,48
45,18.432049560546876,0.4014323296427425,0.02978367805480957,0.003919075635345827,1e-05,0.1,450,3,0.0001,0.4,0.7,"{'reg_lambda': 1e-05, 'reg_alpha': 0.1, 'n_estimators': 450, 'max_depth': 3, 'learning_rate': 0.0001, 'gamma': 0.4, 'colsample_bytree': 0.7}",0.6855,0.688375,0.6800625,0.6899375,0.681125,0.6849999999999999,0.003883659678705114,49
39,3.8009631633758545,0.16464348012432842,0.015758228302001954,0.00011587274417209815,1,1e-05,100,3,0.01,0.1,0.6,"{'reg_lambda': 1, 'reg_alpha': 1e-05, 'n_estimators': 100, 'max_depth': 3, 'learning_rate': 0.01, 'gamma': 0.1, 'colsample_bytree': 0.6}",0.683625,0.688625,0.6789375,0.6886875,0.6786875,0.6837125000000001,0.004403230348278426,50
